MAF	Feature	Enrichment
0.1	exons_sort_merge_chr1	.48746864640067052982
0.1	introns_chr1	1.06104218308409251710
0.1	cCREs_sort_merge_chr1	.98570729873380388393
0.1	other_chr1	.92312721332336873487
0.2	exons_sort_merge_chr1	.30457967957661898577
0.2	introns_chr1	1.07826584828790225422
0.2	cCREs_sort_merge_chr1	.88425785076687784075
0.2	other_chr1	.90945397976156395816
0.3	exons_sort_merge_chr1	.26976888139468242793
0.3	introns_chr1	1.06655449906059321483
0.3	cCREs_sort_merge_chr1	.86571782676526416009
0.3	other_chr1	.92719724815464232347
0.4	exons_sort_merge_chr1	.24070482161442152614
0.4	introns_chr1	1.06470153613143625599
0.4	cCREs_sort_merge_chr1	.84837824944169007867
0.4	other_chr1	.93380638593258728088
0.5	exons_sort_merge_chr1	.18876061349063180727
0.5	introns_chr1	1.04915975471870196703
0.5	cCREs_sort_merge_chr1	.80404132000737011781
0.5	other_chr1	.96350037208948859898
